lat,long,elev,name,Year,Temp
-14.3,126.65,23,KALUMBURU,1975,33.62336
-14.3,126.65,23,KALUMBURU,1976,33.32568
-14.3,126.65,23,KALUMBURU,1977,33.02055
-14.3,126.65,23,KALUMBURU,1978,33.94011
-14.3,126.65,23,KALUMBURU,1979,34.1272
-14.3,126.65,23,KALUMBURU,1980,34.23934
-14.3,126.65,23,KALUMBURU,1981,34.24986
-14.3,126.65,23,KALUMBURU,1982,33.30028
-14.3,126.65,23,KALUMBURU,1983,33.77812
-14.3,126.65,23,KALUMBURU,1984,33.67507
-14.3,126.65,23,KALUMBURU,1985,34.10447
-14.3,126.65,23,KALUMBURU,1986,35.10747
-14.3,126.65,23,KALUMBURU,1987,34.18258
-14.3,126.65,23,KALUMBURU,1988,34.65994
-14.3,126.65,23,KALUMBURU,1989,34.02092
-14.3,126.65,23,KALUMBURU,1990,34.22219
-14.3,126.65,23,KALUMBURU,1991,34.08425
-14.3,126.65,23,KALUMBURU,1992,34.6276
-14.3,126.65,23,KALUMBURU,1993,33.98301
-14.3,126.65,23,KALUMBURU,1994,33.85686
-14.3,126.65,23,KALUMBURU,1995,33.75317
-14.3,126.65,23,KALUMBURU,1996,34.10889
-14.3,126.65,23,KALUMBURU,1997,34.00121
-14.3,126.65,23,KALUMBURU,1998,34.92747
-14.3,126.65,23,KALUMBURU,1999,33.84396
-14.3,126.65,23,KALUMBURU,2000,33.35699
-14.3,126.65,23,KALUMBURU,2001,34.14411
-14.3,126.65,23,KALUMBURU,2002,35.36438
-14.3,126.65,23,KALUMBURU,2003,34.93616
-14.3,126.65,23,KALUMBURU,2004,33.7265
-14.3,126.65,23,KALUMBURU,2005,35.12219
-14.3,126.65,23,KALUMBURU,2006,33.15789
-14.3,126.65,23,KALUMBURU,2007,34.33844
-14.3,126.65,23,KALUMBURU,2008,34.32235
-14.3,126.65,23,KALUMBURU,2009,34.82844
-14.3,126.65,23,KALUMBURU,2010,33.99311
-14.3,126.65,23,KALUMBURU,2011,32.71896
-14.3,126.65,23,KALUMBURU,2012,33.7277
-14.3,126.65,23,KALUMBURU,2013,34.68154
-14.3,126.65,23,KALUMBURU,2014,34.24753
-14.3,126.65,23,KALUMBURU,2015,34.67871
-14.3,126.65,23,KALUMBURU,2016,36.02521
-14.3,126.65,23,KALUMBURU,2017,34.85234
-14.3,126.65,23,KALUMBURU,2018,35.69307
-14.3,126.65,23,KALUMBURU,2019,35.37143
-18.23,127.66,422,HALLS CREEK,1975,32.6951
-18.23,127.66,422,HALLS CREEK,1976,31.25447
-18.23,127.66,422,HALLS CREEK,1977,32.14505
-18.23,127.66,422,HALLS CREEK,1978,32.44164
-18.23,127.66,422,HALLS CREEK,1979,32.34725
